team,Goals_per_team,completed_line_breaks,Attempted_linebreaks,linebreaks_per_team
Ecuador,4,260,456,57.00
Qatar,1,310,471,66.00
England,13,693,944,73.00
Iran,4,239,481,50.00
Netherlands,10,601,870,69.00
Senegal,5,372,647,57.00
"United states",3,493,714,69.00
Wales,1,287,486,59.00
Argentina,15,914,1309,70.00
"Saudi arabia",3,307,520,59.00
Denmark,1,440,604,73.00
Tunisia,1,290,527,55.00
Mexico,2,304,495,61.00
Poland,3,329,573,57.00
Australia,4,348,616,56.00
France,16,721,1065,68.00
Croatia,8,954,1384,69.00
Morocco,6,596,997,60.00
Germany,6,427,577,74.00
Japan,5,338,604,56.00
"Costa rica",3,246,427,58.00
Spain,9,677,871,78.00
Belgium,1,337,501,67.00
Canada,2,348,530,66.00
Cameroon,4,273,499,55.00
Switzerland,5,425,675,63.00
"Korea republic",5,468,713,66.00
Uruguay,2,298,482,62.00
Ghana,5,265,460,58.00
Portugal,12,600,878,68.00
Brazil,8,659,907,73.00
Serbia,5,308,481,64.00
